;
;
; Title		:	Object.dat
; Author	:	Richard Jobling
; Date		:	03/02/00
;
;
;
;
;
; (A) Object Name		[256 chars max]
; (B) Mass				[kilograms 1 to 50000]
; (C) TurnMass			[kg m^3 or some such dimension] 
; (D) Air Resistance	[scale 0 (total resistance) to 1 (zero resistance)]
; (E) Elasticity		[scale 0 (no bounce) to 1 (full bounce)]
; (F) Percent Submerged	[percentage 10 to 120]
; (G) Uproot Limit		[force magnitude required to uproot]
; (H) Collision Damage Multiplier	[0.1 - 5.0 ish]
;
; (I) Collision Damage Effect [uint8 integer 0 - 4]
;		0:none 
;		1:change_model
;		2:split_model
;		3:smash_and_damage_trafficlights
;		20:smash_completely
;		21:change_then_smash
;
;		50:smash_cardbox_completely		(only for cardbox1 & cardbox4)
;		51:smash_yellow_target_completely(bankjob2's targets)
;		60:smash_woodenbox_completely	(only for woodenbox);
;		70:smash_trafficcone_completely	(only for trafficcone);
;		80:smash_barpost_completely		(only for smashbar);
;
;		91:smash_newstandnew1			(only for newstandnew);
;		92:smash_newstandnew2			(only for newstandnew);
;		93:smash_newstandnew3			(only for newstandnew);
;		94:smash_newstandnew4			(only for newstandnew);
;		95:smash_newstandnew5			(only for newstandnew);
;
;		100:smash_blackbag				(only for blackbag)
;		110:smash_vegpalm				(only for veg_palmXXX);
;
;		120:burst_beachball				(only for beachball);
;		131:smash_beachlounge_wood		(only for wood lounges);
;		132:smash_beachlounge_towel		(only for towel lounge);
;
;
;
; (J) Special Collision Response Cases [uint8 0 - 4] 0:none(default) 1:lampost 2:smallbox 3:bigbox 4:fencepart
; (K) Camera to avoid this object (0) for no (1) for yes
;
;
;
;A					B			C		D			E			F			G		H		I	J	K
fish3s,				5.0,		50.0  	0.99,		0.03,		100.0,		10.0,  	2.0,	70,	2,	0
turtle,				5.0,		50.0  	0.99,		0.03,		100.0,		10.0,  	2.0,	70,	2,	0
dolphin,			5.0,		50.0  	0.99,		0.03,		100.0,		10.0,  	2.0,	70,	2,	0
shark,				5.0,		50.0  	0.99,		0.03,		100.0,		10.0,  	2.0,	70,	2,	0
grenade, 			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
bat, 				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
colt45, 			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
molotov, 			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
chromegun, 			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
sniper, 			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
uzi, 				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
;m16, 				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
flame, 				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
brassknuckle		1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
screwdriver			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
golfclub			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
nitestick			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
knifecur			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
hammer				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
cleaver				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
machete				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
katana				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
chnsaw				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
teargas				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
python				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
ruger				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
shotgspa			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
buddyshot			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
m4					1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
tec9				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
ingramsl			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
mp5lng				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
laser				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
rocketla			1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
M60					1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
minigun				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
camera				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
bomb, 				1250.0,		2500.0	0.99,		0.05,		50.0,		0.0,   	1.0,	0,	0,	0
bribe				99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
bonus				99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
killfrenzy			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
camerapickup		99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
property_fsale		99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
keycard				99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
clothesp			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
Esc_step			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
heli_box			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0


;Time Train
jvt_bellowsbottom		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_bellowsmiddle1		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_bellowsmiddle2		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_bellowstop			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_magnet				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_pistonrod_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_pistonrod_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sideaxlemover_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sideaxlemover_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sideaxle_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sideaxle_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sideconnection		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidehammer_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidehammer_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidehorpiston		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidemconnection		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidepconnection		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_sidepiston			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_spiral				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_topgear				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_topgear_pivot		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_toprodbellows		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_upspiral			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheellever_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheellever_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheelmove_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheelmove_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheelrod_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_wheelrod_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
jvt_windmeter			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
objeto1                 99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
objeto2                 99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
objeto2_wing			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

;Time Train flying
fjvt_backwing_1			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_backwing_2			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_backwing_3			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_backwing_4			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_backwing_5			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_holder_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_holder_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_hoverwheels_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_hoverwheels_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_1_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_1_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_2_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_2_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_3_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_middlewing_3_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_pistonrod_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_pistonrod_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_1_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_1_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_2_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_2_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_3_l		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_topwing_3_r		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_wheellever			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_wheelmove			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_wheelrod			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_wingdoor_l			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
fjvt_wingdoor_r			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

;Docs Truck
backdoor                99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ramps                   99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rods                    99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
stabilizer              99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

;Rogers locomotive
rog_lev_valves			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_pistons				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_prods				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_rods				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_valves				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_valves_pist			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_wheel1				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
rog_wheel2				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

;Luxor Cab
taxi_retract_back		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
taxi_retract_front		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
taxi_wheel_l            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
taxi_wheel_r            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1


;1955 Twin Pines Breakables
1955TPMail,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr1,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr2,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr3,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr4,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr5,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr6,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr7,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr8,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr9,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr10,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDr11,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPBarnDrsml,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPPine,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1
1955TPScare,			250.0,		250.0  	0.99,		0.04,		50.0,		0.0,    1.5,	60,	0,	1

;Hill Valley
bin1955,                1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
recruit1955,            1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
prkmtr1955,             1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
lamp1955,               1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
direction1955,          1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
streetsign11955,        1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
routes1955,             1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
clock1955               99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clock_nt1955            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clockdam                99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clockdam_nt             99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clock1985               99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clock_nt1985            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clock2015               99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clock_nt2015            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
vane_ok1955             99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
vane_dam1955            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
vane_dam1985            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
vane_dam2015            99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
clockminhand,           1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
clockhourhand,          1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
delhook,		600.0,		4000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0

* ;end of file
