landstal, 11,73, 18,74, 47,75, 41,76, 64,73, 52,74, 56,75, 32,76
linerun, 13,76, 24,77, 63,78, 42,76, 54,77, 39,78, 11,76, 62,77
lovefist, 13,13
manana, 1,1, 2,2, 3,3, 6,6, 7,7, 46,46, 0,0, 36,36
marquis, 12,35, 50,32, 40,26, 66,36
maverick, 0,0
mesa, 3,75, 6,0, 2,75, 60,73, 1,75, 46,73, 0,72
moonbeam, 79,79, 76,76, 72,72, 62,62, 70,70, 1,1, 0,0
mrwhoop, 1,6, 107,40, 2,6, 58,53, 1,3, 1,6
mule, 0,90, 34,34, 90,90, 41,41, 60,60, 21,21
oceanic, 51,51, 51,1, 3,3, 3,1, 59,59, 59,1, 56,56, 56,1, 55,55, 55,1, 0,0, 0,1, 47,47, 47,1, 14,14, 14,1
packer, 0,0
patriot, 43,0
pcj600, 13,13, 22,22, 35,35, 38,38, 2,2, 3,3, 48,48, 51,51
peren, 0,1, 3,0, 50,1, 52,0, 9,0, 20,0, 36,0
pheonix, 75,71  
pizzaboy, 14,6
police, 0,1
polmav, 1,71
pony, 1,1, 3,3, 6,6, 46,46
predator, 46,1
rancher, 3,1, 40,2, 6,1, 6,0, 50,58, 60,1, 33,1, 0,0
rcbandit, 17,27, 28,38, 38,47, 46,57, 41,27, 57,48, 67,58, 64,37
rcbaron, 14,75
rcraider, 14,75
rcgoblin, 14,75
reefer, 57,8, 8,17, 43,21, 54,38, 67,8, 37,78, 65,79, 25,78
regina, 53,32, 15,32, 45,32, 34,30, 65,32, 14,32, 12,32, 43,32
rio, 1,1
romero, 1,1, 0,0, 12,12, 75,75  
rumpo, 7,1, 0,1, 35,1, 3,1, 6,1, 49,1 
sabre, 79,79
sabretur, 3,1, 2,1, 6,0, 50,0, 40,1, 1,3
sanchez, 6,6, 46,46, 53,53, 3,3
sandking, 0,0, 15,15, 49,49, 69,69, 45,45, 51,51, 66,66, 56,56, 78,78
seaspar, 75,2
securica, 4,75
sentinel, 21,21, 41,41, 50,50, 70,70, 34,34, 76,76
sentxs, 51,0, 61,0, 41,0, 11,0, 64,0, 40,0, 38,0, 10,0
skimmer, 1,3, 1,5, 1,16, 1,22, 1,35, 1,44, 1,53, 1,57
spand, 9,9, 32,32, 69,69, 73,73, 81,81, 34,34
sparrow, 79,71
speeder, 1,3, 1,5, 1,16, 1,22, 1,35, 1,44, 1,53, 1,57
squalo, 1,3, 1,5, 1,16, 1,22, 1,35, 1,44, 1,53, 1,57
stallion, 57,8, 8,17, 43,21, 54,38, 67,8, 37,78, 25,78 
stinger, 47,78, 117,94, 114,75, 115,115, 69,76, 54,94, 3,76, 120,78
stretch, 84,84, 1,1, 79,79, 78,78
taxi, 6,75, 6,73, 6,76
topfun, 75,75
trash, 1,75
tropic, 1,1
vcnmav, 6,6
vicechee, 0,1
virgo, 75,71, 3,70, 79,77, 6,35, 46,46, 7,57, 14,3, 59,58, 6,0, 68,5, 57,53
voodoo, 0,10, 10,73, 35,60, 48,60, 50,0, 40,10, 73,72, 60,60
walton, 2,2, 11,11, 12,12, 35,35, 36,36
washing, 1,1, 3,3, 36,7, 57,3, 70,35, 77,70
yankee, 1,1
zebra, 0,0
end
